Category,Field,Value

"Report Info","Generated","2025-10-03 19:07:28"
"Report Info","Source File","Multiple Reports.pdf"
"Report Info","Report Date","19/06/2025, 11:21"
"Report Info","Report Title","Multiple Reports (S/N: 158)"
"Report Info","Report Type","Envelope Density Report"
"Instrument","Type","GeoPyc"
"Instrument","Serial Number","158"
"Instrument","Version","GeoPyc 1365 v2.01"
"Sample","Record ID","RHH646-ORA-0070 24-3 -- SOP TECH IN"
"Sample","Operator","operator"
"Sample","Submitter","submitter"
"Sample","Started Time","Mar 24, 2025 3:58 PM"
"Sample","Completed Time","Mar 24, 2025 4:08 PM"
"Sample","Report Time","Jun 19, 2025 11:12 AM"
"Sample","Sample Mass","7.6500 g"
"Parameters","Chamber Diameter","38.1 mm"
"Parameters","Preparation Cycles","2"
"Parameters","Measurement Cycles","10"
"Parameters","Consolidation Force","90.00 N"
"Parameters","Zero Depth","71.0644 mm"
"Results","Porosity","51.75 %"
"Results","Percent Sample Volume","35.600%"
"Parameters","Blank Data Status","Measured"

"Measurement Cycles","Headers","Cycle #,Blank (counts),Sample (counts),Volume (cm続),Deviation (cm続),Density (g/cm続),Deviation (g/cm続)"
"Measurement Cycles","Cycle 1","1,18577,13981,13.9755,0.1306,0.5474,-0.0052"
"Measurement Cycles","Cycle 2","2,18588,14009,13.9235,0.0786,0.5494,-0.0031"
"Measurement Cycles","Cycle 3","3,18600,14030,13.8979,0.0531,0.5504,-0.0021"
"Measurement Cycles","Cycle 4","4,18612,14050,13.8733,0.0285,0.5514,-0.0011"
"Measurement Cycles","Cycle 5","5,18623,14068,13.8523,0.0075,0.5523,-0.0003"
"Measurement Cycles","Cycle 6","6,18630,14084,13.8241,-0.0208,0.5534,0.0008"
"Measurement Cycles","Cycle 7","7,18637,14099,13.7994,-0.0454,0.5544,0.0018"
"Measurement Cycles","Cycle 8","8,18643,14110,13.7848,-0.0600,0.5550,0.0024"
"Measurement Cycles","Cycle 9","9,18651,14123,13.7693,-0.0755,0.5556,0.0030"
"Measurement Cycles","Cycle 10","10,18656,14135,13.7483,-0.0965,0.5564,0.0039"
